Participant Number,XGB,LDA,SVM
3,0.6720106480169554,0.651455160107683,0.6782459460197419
4,0.7276550028485235,0.7040959350979421,0.7320902553930076
5,0.625172516471255,0.6352322266155409,0.6652677648979254
6,0.6411865151931092,0.6318603625742387,0.6604781848116137
7,0.6609805525545204,0.646139985004664,0.6813741100208989
9,0.7064397017020297,0.6965621863672322,0.7429393423157759
10,0.6319048781333758,0.6454185097204019,0.6502591178580284
11,0.7066335212178103,0.6961981306749081,0.739640836978853
13,0.6761248900440414,0.6697863957912696,0.6817681582303142
14,0.672681276049969,0.6570669395640727,0.6740506686650609
15,0.6829043408988936,0.6630509273198493,0.6917102874499663
16,0.6588039946483181,0.6471684311277202,0.7036664334714794
17,0.6959819657468739,0.7075754213010521,0.711307970404874
18,0.6748365567402265,0.6553199238721028,0.7008274979189543
19,0.68437098919037,0.6594054648111414,0.72065584486026
