,Participant,Hand,Feet,Tongue,Mis,Paradigm
0,P1,0.8333333333333334,0.6428571428571429,0.7023809523809523,0.8333333333333334,Continuous
1,P2,0.9047619047619048,0.7976190476190477,0.7738095238095238,0.75,Continuous
2,P3,0.8095238095238095,0.8809523809523809,0.7619047619047619,0.6785714285714286,Continuous
3,P4,0.7142857142857143,0.7976190476190477,0.7738095238095238,0.7023809523809523,Continuous
4,P5,0.8452380952380952,0.8333333333333334,0.7142857142857143,0.7380952380952381,Continuous
5,P6,0.8333333333333334,0.9285714285714286,0.7738095238095238,0.6904761904761905,Continuous
6,P7,0.6309523809523809,0.6428571428571429,0.7380952380952381,0.7738095238095238,Continuous
7,P8,0.9285714285714286,0.9523809523809524,0.7142857142857143,0.8333333333333334,Continuous
8,P9,0.7023809523809523,0.8214285714285714,0.8095238095238095,0.8333333333333334,Continuous
9,P10,0.9404761904761904,0.8333333333333334,0.6428571428571429,0.7976190476190477,Continuous
10,P11,0.9047619047619048,0.7738095238095238,0.7023809523809523,0.7142857142857143,Continuous
11,P12,0.7023809523809523,0.7261904761904762,0.8095238095238095,0.8214285714285714,Continuous
12,P13,0.8690476190476191,0.7142857142857143,0.8928571428571429,0.8809523809523809,Continuous
13,P14,0.6904761904761905,0.7142857142857143,0.7619047619047619,0.7380952380952381,Continuous
14,P15,0.8928571428571429,0.7023809523809523,0.8690476190476191,0.7857142857142857,Continuous
15,_P1,1.0,0.9285714285714286,0.9642857142857144,0.8928571428571429,Switch
16,_P2,0.9285714285714286,0.8518518518518519,0.8571428571428571,0.8571428571428571,Switch
17,_P3,0.6428571428571429,0.6785714285714286,0.7142857142857143,0.7142857142857143,Switch
18,_P4,0.75,1.0,0.7857142857142857,0.9285714285714286,Switch
19,_P5,0.8214285714285714,0.9642857142857144,0.8214285714285714,0.8214285714285714,Switch
20,_P6,1.0,1.0,0.9642857142857144,1.0,Switch
21,_P7,0.8214285714285714,0.7142857142857143,0.7857142857142857,0.8571428571428571,Switch
22,_P8,0.6428571428571429,0.7142857142857143,0.4285714285714285,0.6428571428571429,Switch
23,_P9,0.6071428571428571,0.6428571428571429,0.7142857142857143,0.5357142857142857,Switch
24,_P10,0.7857142857142857,0.7142857142857143,0.75,0.7857142857142857,Switch
25,_P11,1.0,1.0,0.9629629629629628,0.925925925925926,Switch
26,_P12,1.0,1.0,1.0,1.0,Switch
27,_P13,0.7142857142857143,0.8214285714285714,0.7857142857142857,0.7142857142857143,Switch
