Participant Number,Blk 1,Blk 12,Blk 123,Blk 1234,Blk 12345
3,0.5675897893716128,0.6102244712766501,0.6830826854049331,0.7244722359974654,0.7508170748566391
4,0.6500893453660083,0.7048146596383408,0.7395751112350883,0.7561985765254114,0.7557242961342733
5,0.534233517798598,0.604904438555528,0.6213080626498058,0.6897314417956619,0.7592767191749417
6,0.5743275313731162,0.6020610992299639,0.6494082579876731,0.6893699000852097,0.7073749822889731
7,0.5724486773798699,0.6320943516829411,0.669350403811413,0.7091159178100118,0.7311483952825696
9,0.5777987266017656,0.657539165968065,0.7587774527066384,0.7817746461238434,0.8006787259080836
10,0.5721816436767697,0.6034610913337979,0.6571242482653034,0.6758808038051157,0.7039897224386903
11,0.6206726857099565,0.6717611728291201,0.7339756624662014,0.7755113167312135,0.7688666437161277
13,0.5941494144045749,0.6603998965380846,0.6827036602050937,0.7085855432759103,0.7336272256857119
14,0.5724022074581134,0.6454606484351324,0.6601693887531044,0.7131738707498454,0.7484586917356413
15,0.5791902475460389,0.6576397928892194,0.7018211025163433,0.7184419296016199,0.7390161868946272
16,0.6052666013818536,0.6382778031143858,0.6694739658974176,0.7109475762213721,0.7254321521308333
17,0.5968810881654918,0.675320314375647,0.7220559076852081,0.7522454322769689,0.778272853251351
18,0.6068232161552115,0.6270016227728383,0.697153183040511,0.7188826635859319,0.7351126119976463
19,0.5867801912741707,0.6585249291312939,0.6985658465231287,0.744083975850031,0.7527655553243283
